Swedish,English
Var är du?,Where are you?
Inte här!,Not here!
Var är jag?,Where am I?
Jag kan inte.,I can't.
Jag är här.,I'll be here.
Jag är här.,We're right here.
Var är ni?,Where are you?
Var är han?,Where is he?
Jag kan inte göra det här.,I can't do this.
Den är min.,That is mine.
Jag vill inte ha det här.,I don't want this.
Jag gillar det inte.,I don't like that.
Jag med.,Me too.
Det vet du inte.,You don't know that.
Jag vill inte ha den här.,I don't want this.
Du tycker inte om mig.,You don't like me.
Jag tycker inte om det.,I don't like that.
Tycker du inte om mig?,Don't you like me?
Är det vad du vill?,Is this what you want?
Jag kommer.,I'm coming.
Jag kommer.,I am coming.
Du kan gå om du vill.,"If you want, you can go."
Vad är det här för?,What is this for?
Det är mitt.,That is mine.
Jag har dig.,I've got you.
Vad är det här till?,What is this for?
Det kommer inte att gå.,It won't work.
Tycker du om det?,Like it?
Jag kommer att vara här.,I'll be here.
Jag vill inte ha dig här.,I don't want you here.
Det kan vi inte göra.,We can't do that.
Vi kan inte göra det.,We can't do it.
Vi kan inte göra det.,We cannot do that.
Det kan vi inte göra.,We cannot do that.
Det är där jag kommer att vara.,That's where I'll be.
Jag måste inte vara här.,I don't have to be here.
Var det du som gjorde det här?,Did you do this?
Vad är den här till?,What's this for?
Vad har du på dig?,What are you wearing?
Det är för mycket att göra.,There are too many things to do!
Det är upp till dig.,It is up to you.
Det är upp till dig.,It's up to you.
Jag tror inte på det.,I don't believe this.
Jag gick inte.,I didn't walk.
Vad har du?,What've you got?
Jag kommer till dig.,I'm coming to you.
Jag vet inte vad det är.,I don't know what it is.
Jag vet inte vad det är.,I don't know what that is.
Det är mycket.,That's plenty.
Jag vet var han är.,I know where he is.
Jag gör det för att jag måste.,I do it because I have to.
Här kommer han.,Here he comes.
Jag tycker inte om det där.,I don't like that.
Jag vill vara här.,I want to be here.
Jag vet inte.,I don't know.
Du kan gå.,You may go.
Gör inte det här.,Don't do this.
Gjorde du det här?,Did you do this?
Jag gjorde det inte.,I didn't do it.
Vad vill du att jag ska göra?,What do you want me to do?
Gör inte om det.,Don't do it again.
Jag tror inte att han kommer.,I think he won't come.
Jag behöver dig här.,I need you here.
Har inte du något att göra?,Don't you have something to do?
Han är inte en av oss.,He doesn't belong to us.
Jag är här för att hjälpa dig.,I'm here to help you.
Vad vill du?,What do you want?
Jag vet inte vad jag vill.,I don't know what I want.
Jag borde inte vara här.,I shouldn't be here.
Ni kan gå om ni vill.,"If you want, you can go."
Kommer du eller inte?,Are you coming in or not?
Jag vet bara inte.,I just don't know.
Gör det inte.,Don't do it.
Var det jag som gjorde det där?,Did I do that?
Jag vill inte ha er här.,I don't want you here.
Jag gillar att ha mycket att göra.,I like having plenty to do.
Ska du ut?,Are you going out?
Vad har vi här?,What do we have here?
Jag vill bara vara med dig.,I just want to be with you.
"Det är dig som hon älskar, inte mig.","It's you that she loves, not me."
Gå inte.,Don't leave.
Jag vill gå med dig.,I want to go with you.
Han kommer att gå.,He will walk.
Jag kom på det.,I've found it.
Vi kan göra det där.,We can do that.
Det går upp för mig.,It dawns on me.
Vad ska du ha?,What are you going to have?
"Om du inte vill att jag ska åka, så gör jag det inte.","If you don't want me to go, I won't."
Har inte ni något att göra?,Don't you have something to do?
Jag tror att jag gillar dig.,I think I like you.
Jag behöver dig.,I need you.
Det är något med honom som jag inte gillar.,There is something about him I don't like.
Vi kommer att vara där.,We'll be there.
Här är hon!,Here she is!
Gör som du vill.,Do as you please.
Jag vill inte prata om det.,I don't want to talk about it.
Jag vet vad jag vill.,I know what I want.
Jag vet vad jag vill ha.,I know what I want.
Du kan inte se.,You can't see.
Vad är du bra på?,What're you good at?
Jag tror på dig.,I believe you.
Jag kan inte hjälpa dig.,I can't help you.
Är du för eller mot det här?,Are you for or against this?
Jag älskar dig.,I love you.
Jag tror det.,I think so.
Jag vet.,I know.
Jag måste gå.,I have to go.
Jag är här för att hjälpa er.,I'm here to help you.
Vad vill du att jag ska prata om?,What do you want to talk to me about?
Du är inte i tid.,You are late.
Var är de?,Where are they?
Kommer du med oss?,Are you coming with us?
Är de där för mig?,Are those for me?
Han vill inte prata om det.,He doesn't want to talk about it.
Du kan komma med oss om du vill.,You may come with us if you want to.
Du borde inte gå ut.,You'd better not go out.
Jag kan inte se dig.,I can't see you.
Är de där till mig?,Are those for me?
Jag kan inte göra detta.,I can't do this.
Jag vet inte om vi kan hjälpa dig eller inte.,I don't know if we can help you or not.
Gjorde jag det där?,Did I do that?
Jag kan allt det här.,I know all this.
Finns du?,Do you exist?
Jag vill inte ha detta.,I don't want this.
Jag tycker fortfarande inte om det.,I still don't like it.
Du kan ta det.,You can have it.
Jag kommer att hjälpa dig.,I'll help you.
Var bor du?,Where do you live?
Vi ska vi göra?,What'll we do?
Jag är faktiskt här för att hjälpa dig.,"I'm here to help you, actually."
Det trodde jag aldrig om dig.,I never thought that about you.
Kan du se det där?,Can you see that?
Vet du vad?,You know what?
Vad vet du?,What do you know?
Du vill hjälpa mig.,You want to help me.
Jag ser.,I see.
Gör vad du vill.,Do what you like.
