Swedish,English
Jag,I
det,the
är,is
du,you
att,to
inte,not
en,a
och,and
har,has
vi,we
på,on
i,in
för,for
han,he
med,with
som,as
om,if
var,where
vad,What
mig,me
här,here
dig,you
så,so
den,the
kan,can
till,to
de,they
men,but
ett,one
ska,will
ni,you(plural)
av,of
hon,she
vill,wants
ja,yes
vet,know
nu,now
nej,No
bara,only
hur,how
min,me
kommer,comes
där,there
måste,must
honom,him
gör,makes
din,your
skulle,would
när,when
då,then
kom,come
ha,have
bra,Good
får,get
man,man
vara,be
oss,us
ut,out
ta,take
er,you
göra,do
okej,okay
eller,or
hade,had.
från,from
varför,why
dem,them
alla,all
tror,think
allt,all
henne,her
upp,up
sa,said
ingen,No
tack,thanks
gå,go
in,in
igen,again
få,get
går,go.
mycket,very
hej,Hello
vem,who
kanske,perhaps
lite,a little
behöver,needs
ser,see
mitt,my
aldrig,never
finns,Available
än,than
inget,nothing
efter,after
blir,becomes
ju,Ju.
hans,his
sen,its
bli,Become
gjorde,did
två,two
nån,somewhat
tillbaka,back
tar,Tar
mer,more
något,something
över,over
säger,says
